area_name,salary_in_rub
Юганец,23380.95238095238
Истье (Рязанская область),23381.09756097561
Лойно,23416.666666666668
Елатьма,23502.906976744187
Спасское,23510.227272727272
Сокольское,23535.714285714286
Шаранга,23554.21686746988
Коссово,23577.51
Лешуконское,23625.0
Верхошижемье,23638.235294117647
Чарск (Шар),23640.712
Сморгонь,23643.294317219672
Юрья,23661.11111111111
Листвянский,23666.666666666668
Ростовская область,23666.82195121951
Мурмино,23719.135802469136
Кумены,23773.25581395349
Старожилово,23793.06818181818
Октябрьский (Рязанская область),23813.95348837209
Ижевское,23817.073170731706
Сотницыно,23825.301204819276
Милославское,23861.494252873563
Сеченово,23862.068965517243
Свеча,23906.976744186046
Ульяновская область,23935.888333333332
Лесной (Рязанская область),23947.058823529413
Первомайский (Кировская область),23996.511627906977
Мумра,24000.0
Оранжереи,24000.0
Малое Верево,24000.0
Каменка (Архангельская область),24000.0
Опарино,24011.494252873563
Даровской,24083.333333333332
Грязное (Рязанская область),24089.285714285714
Кадом,24098.863636363636
Новополоцк,24134.026331190722
Поляны,24203.296703296703
Кирицы,24243.975903614457
Лаголово,24250.0
Бугрино (Ненецкий АО),24250.0
Индига,24250.0
Вангурей,24250.0
Каратайка,24250.0
Песковка,24252.02448275862
Пижанка,24252.840909090908
Городок (Витебская область),24263.601739958332
Сосновское,24264.044943820223
Яремче,24280.47
Городенка,24280.47
Рогатин,24280.47
Долина,24280.47
Косов,24280.47
Пижма,24353.44827586207
Саваслейка,24357.317073170732
Чернышковский,24359.166666666668
Лесной (Кировская область),24389.53488372093
Мурыгино,24399.42528735632
Гостилицы,24416.666666666668
Золотухино,24438.333333333332
Медвенка,24488.235294117647
Волковыск,24496.587214989133
Псковская область,24500.0
Турунтаево,24500.0
Шу,24535.522133333332
Светлополянск,24543.60465116279
Фалёнки,24623.595505617977
Ангрен,24641.97407894737
Речица,24649.967302260975
Путятино,24679.41176470588
Вороново,24679.44145657143
Лида,24684.19237029841
Лебяжье (Кировская область),24710.227272727272
Лакаш,24713.85542168675
Мирный (Кировская область),24715.51724137931
Атасу,24776.83885714286
Ленинское,24827.956989247312
Барань,24839.920000000002
Восточный (Кировская область),24873.595505617977
Досчатое,24894.00172413793
Линда,24900.76011235955
Качар,24919.121666666662
Виля,24968.71436781609
Синельниково,24978.9725
Новоживотинное,25000.0
Березовка (Амурская область),25000.0
Октябрьский (Амурская область),25000.0
Ямное,25000.0
Унъюган,25000.0
Аккурган,25000.0
Хреновое,25000.0
Гремячево,25009.048255813952
Решетиха,25102.840909090908
Выездное,25115.48483146067
Смоленская область,25173.333333333332
Ермишь,25187.5
Нурма (Ленинградская область),25250.0
Слоним,25281.691337967186
Баграмово,25295.97701149425
Гидроторф,25306.49606741573
Амдерма,25333.333333333332
Большая Вруда,25333.333333333332
Лукино,25419.977976190476
Тарногский Городок,25428.571428571428
Искра (Рязанский район),25441.176470588234
Мечниково,25450.0
Селитренное,25500.0
Тойтепа,25520.463333333333
Арья,25531.569886363635
Арбаж,25542.613636363636
Большое Болдино,25560.189062499998
Новый,25562.5
Кикнур,25586.11111111111
Шонгуй,25600.0
Вахтан,25616.979444444445
Тамбовская область,25666.666666666668
Лальск,25669.540229885057
Геническ,25679.7225
Гагино,25712.66827956989
Нагорск,25719.101123595505
Раздольное (Новосибирская область),25723.68
Сапожок,25816.86046511628
Столин,25823.596285714284
Песчаный (Ростовская область),25833.333333333332
Советская (Ростовская область),25833.333333333332
"Новониколаевка (Ростовская область, Азовский район)",25833.333333333332
Байкалово (Свердловская область),25882.352941176472
Богородское,25916.304347826088
Барановичи,25942.239312097987
Захарово,25968.3908045977
Горбатовка,25970.41467391304
Синегорский,26000.0
Вад,26030.197282608693
Джаркурган,26035.65
