year,Все,Профессия
2003,1983,
2004,7833,
2005,16022,
2006,33321,
2007,53562,
2008,75070,
2009,52889,
2010,93494,
2011,142458,
2012,173899,
2013,234019,3.0
2014,259569,40.0
2015,284763,289.0
2016,332461,863.0
2017,391464,1795.0
2018,517669,3024.0
2019,535960,4146.0
2020,611884,5662.0
2021,943164,8164.0
2022,887526,6947.0
2023,683702,6015.0
