area_name,salary_in_rub
Оренбург,191545.45454545456
Адлер,200000.0
Королев,202222.22222222222
Обнинск,202500.0
Апрелевка,202500.0
Краснознаменск (Московская область),202500.0
Голицыно,202500.0
Киев,204038.43172718122
Красногорск,206388.88888888888
Майкоп,206500.0
Израиль,207350.805
Греция,207555.83333333334
Серпухов,208214.2857142857
Абакан,211210.29166666666
Эстония,212083.18
Троицк (Московская область),215000.0
Львов,215553.43875
Южно-Сахалинск,217500.0
Петропавловск-Камчатский,217500.0
Благовещенск (Амурская область),217500.0
Люберцы,223333.33333333334
Нижнекамск,225000.0
Электроугли,226666.66666666666
Армения,228410.25392156863
Нахабино,230000.0
Владикавказ,235000.0
Коломна,235000.0
Химки,238393.252
Польша,241092.85852500002
Дмитров,241666.66666666666
Австрия,243982.59999999998
США,244950.446056338
Турция,245785.84500000003
Тбилиси,253381.36741847827
Ивантеевка,260000.0
Долгопрудный,264000.0
Дедовск,265000.0
Сербия,268673.63333333336
Канада,270893.4475
Кипр,271491.0924637681
Истра,279090.9090909091
Луганск,281146.59
Кривой Рог,281146.59
Мариуполь,281146.59
Батуми,283134.9268181818
Сингапур,287077.177
Швейцария,288041.95
Швеция,294994.05
Городок (Львовская область),297496.125
Финляндия,298359.01666666666
Видное,300000.0
Ноябрьск,300000.0
Черноголовка,300000.0
Чехов,300000.0
Бронницы,300000.0
Черкесск,300000.0
Лыткарино,300000.0
Щербинка,300000.0
Солнечногорск,300000.0
Раменское,300000.0
Элиста,300000.0
Реутов,300000.0
Юбилейный (Московская область),300000.0
Щелково,300000.0
Магадан,300000.0
Старая Купавна,300000.0
Новый Уренгой,300000.0
Лосино-Петровский,300000.0
Кызыл,300000.0
Кубинка,300000.0
Мирный (Республика Саха (Якутия)),300000.0
Красноармейск (Московская область),300000.0
Котельники,300000.0
Московский,300000.0
Климовск (Московская область),300000.0
Назрань,300000.0
Яхрома,300000.0
Домодедово,300000.0
Нальчик,300000.0
Ступино,300000.0
Фрязино,300000.0
Звенигород,300000.0
Бельгия,300822.4
Литва,304066.425
Вьетнам,313479.2125
ОАЭ,314158.0833333333
Норвегия,349661.0
Ирландия,373050.72000000003
Аргентина,412165.35
Германия,422292.9660952381
Ужгород,443254.2
Ровно,443254.2
Великобритания,505830.00000000006
Жуковка (Московская область),538215.15
Австралия,2963417.65
